Başlangıç Sıcaklığı (Kelvin)  Bitiş Sıcaklığı (Kelvin)      Gerekli Enerji Miktarı (Joule)
795                           796                           4.398431e+05                  
796                           797                           4.399362e+05                  
797                           798                           4.400294e+05                  
798                           799                           4.401226e+05                  
799                           800                           4.402158e+05                  
800                           801                           4.403091e+05                  
801                           802                           4.404023e+05                  
802                           803                           4.404956e+05                  
803                           804                           4.405890e+05                  
804                           805                           4.406823e+05                  
805                           806                           4.407757e+05                  
806                           807                           4.408690e+05                  
807                           808                           4.409624e+05                  
808                           809                           4.410559e+05                  
809                           810                           4.411493e+05                  
810                           811                           4.412428e+05                  
811                           812                           4.413363e+05                  
812                           813                           4.414298e+05                  
813                           814                           4.415234e+05                  
814                           815                           4.416170e+05                  
815                           816                           4.417106e+05                  
816                           817                           4.418042e+05                  
817                           818                           4.418979e+05                  
818                           819                           4.419916e+05                  
819                           820                           4.420853e+05                  
820                           821                           4.421790e+05                  
821                           822                           4.422728e+05                  
822                           823                           4.423666e+05                  
823                           824                           4.424604e+05                  
824                           825                           4.425543e+05                  
825                           826                           4.426481e+05                  
826                           827                           4.427421e+05                  
827                           828                           4.428360e+05                  
828                           829                           4.429300e+05                  
829                           830                           4.430240e+05                  
830                           831                           4.431180e+05                  
831                           832                           4.432120e+05                  
832                           833                           4.433061e+05                  
833                           834                           4.434002e+05                  
834                           835                           4.434944e+05                  
835                           836                           4.435886e+05                  
836                           837                           4.436828e+05                  
837                           838                           4.437770e+05                  
838                           839                           4.438713e+05                  
839                           840                           4.439656e+05                  
840                           841                           4.440599e+05                  
841                           842                           4.441543e+05                  
842                           843                           4.442487e+05                  
843                           844                           4.443432e+05                  
844                           845                           4.444376e+05                  
845                           846                           4.445321e+05                  
846                           847                           4.446267e+05                  
847                           848                           4.447212e+05                  
848                           849                           4.448158e+05                  
849                           850                           4.449105e+05                  
850                           851                           4.450051e+05                  
851                           852                           4.450998e+05                  
852                           853                           4.451946e+05                  
853                           854                           4.452894e+05                  
854                           855                           4.453842e+05                  
855                           856                           4.454790e+05                  
856                           857                           4.455739e+05                  
857                           858                           4.456688e+05                  
858                           859                           4.457638e+05                  
859                           860                           4.458588e+05                  
860                           861                           4.459538e+05                  
861                           862                           4.460489e+05                  
862                           863                           4.461440e+05                  
863                           864                           4.462391e+05                  
864                           865                           4.463343e+05                  
865                           866                           4.464295e+05                  
866                           867                           4.465248e+05                  
867                           868                           4.466201e+05                  
868                           869                           4.467154e+05                  
869                           870                           4.468108e+05                  
870                           871                           4.469062e+05                  
871                           872                           4.470017e+05                  
872                           873                           4.470972e+05                  
873                           874                           4.471927e+05                  
874                           875                           4.472883e+05                  
875                           876                           4.473839e+05                  
876                           877                           4.474796e+05                  
877                           878                           4.475753e+05                  
878                           879                           4.476710e+05                  
879                           880                           4.477668e+05                  
880                           881                           4.478626e+05                  
881                           882                           4.479585e+05                  
882                           883                           4.480544e+05                  
883                           884                           4.481503e+05                  
884                           885                           4.482463e+05                  
885                           886                           4.483423e+05                  
886                           887                           4.484384e+05                  
887                           888                           4.485345e+05                  
888                           889                           4.486307e+05                  
889                           890                           4.487269e+05                  
890                           891                           4.488231e+05                  
891                           892                           4.489194e+05                  
892                           893                           4.490158e+05                  
893                           894                           4.491122e+05                  
894                           895                           4.492086e+05                  
895                           896                           4.493051e+05                  
896                           897                           4.494016e+05                  
897                           898                           4.494981e+05                  
898                           899                           4.495947e+05                  
899                           900                           4.496914e+05                  
900                           901                           4.497881e+05                  
901                           902                           4.498849e+05                  
902                           903                           4.499816e+05                  
903                           904                           4.500785e+05                  
904                           905                           4.501754e+05                  
905                           906                           4.502723e+05                  
906                           907                           4.503693e+05                  
907                           908                           4.504663e+05                  
908                           909                           4.505634e+05                  
909                           910                           4.506605e+05                  
910                           911                           4.507577e+05                  
911                           912                           4.508549e+05                  
912                           913                           4.509522e+05                  
913                           914                           4.510495e+05                  
914                           915                           4.511469e+05                  
915                           916                           4.512443e+05                  
916                           917                           4.513418e+05                  
917                           918                           4.514393e+05                  
918                           919                           4.515369e+05                  
919                           920                           4.516345e+05                  
920                           921                           4.517322e+05                  
921                           922                           4.518299e+05                  
922                           923                           4.519277e+05                  
923                           924                           4.520255e+05                  
924                           925                           4.521234e+05                  
925                           926                           4.522213e+05                  
926                           927                           4.523193e+05                  
927                           928                           4.524173e+05                  
928                           929                           4.525154e+05                  
929                           930                           4.526135e+05                  
930                           931                           4.527117e+05                  
931                           932                           4.528099e+05                  
932                           933                           4.529082e+05                  
933                           934                           4.530066e+05                  
934                           935                           4.531050e+05                  
935                           936                           4.532034e+05                  
936                           937                           4.533020e+05                  
937                           938                           4.534005e+05                  
938                           939                           4.534991e+05                  
939                           940                           4.535978e+05                  
940                           941                           4.536965e+05                  
941                           942                           4.537953e+05                  
942                           943                           4.538942e+05                  
943                           944                           4.539931e+05                  
944                           945                           4.540920e+05                  
945                           946                           4.541910e+05                  
946                           947                           4.542901e+05                  
947                           948                           4.543892e+05                  
948                           949                           4.544884e+05                  
949                           950                           4.545876e+05                  
950                           951                           4.546869e+05                  
951                           952                           4.547862e+05                  
952                           953                           4.548856e+05                  
953                           954                           4.549851e+05                  
954                           955                           4.550846e+05                  
955                           956                           4.551842e+05                  
956                           957                           4.552838e+05                  
957                           958                           4.553835e+05                  
958                           959                           4.554832e+05                  
959                           960                           4.555831e+05                  
960                           961                           4.556829e+05                  
961                           962                           4.557829e+05                  
962                           963                           4.558828e+05                  
963                           964                           4.559829e+05                  
964                           965                           4.560830e+05                  
965                           966                           4.561832e+05                  
966                           967                           4.562834e+05                  
967                           968                           4.563837e+05                  
968                           969                           4.564840e+05                  
969                           970                           4.565844e+05                  
970                           971                           4.566849e+05                  
971                           972                           4.567854e+05                  
972                           973                           4.568860e+05                  
973                           974                           4.569867e+05                  
974                           975                           4.570874e+05                  
975                           976                           4.571882e+05                  
976                           977                           4.572890e+05                  
977                           978                           4.573899e+05                  
978                           979                           4.574909e+05                  
979                           980                           4.575919e+05                  
980                           981                           4.576930e+05                  
981                           982                           4.577942e+05                  
982                           983                           4.578954e+05                  
983                           984                           4.579967e+05                  
984                           985                           4.580980e+05                  
985                           986                           4.581994e+05                  
986                           987                           4.583009e+05                  
987                           988                           4.584024e+05                  
988                           989                           4.585040e+05                  
989                           990                           4.586057e+05                  
990                           991                           4.587075e+05                  
991                           992                           4.588093e+05                  
992                           993                           4.589111e+05                  
993                           994                           4.590131e+05                  
994                           995                           4.591150e+05                  
995                           996                           4.592171e+05                  
996                           997                           4.593192e+05                  
997                           998                           4.594214e+05                  
998                           999                           4.595237e+05                  
999                           1000                          4.596260e+05                  
